TIME,MAX,MIN,OTHER
20140801 002345690,1.100279471,1.099916406,0
20140801 002417690,1.100291577,1.099928505,0
20140801 002446440,1.100279471,1.099916406,0
20140801 002519690,1.100291577,1.099928505,0
20140801 002521940,1.100279471,1.099916406,0
20140801 002522190,1.100267365,1.099904308,0
20140801 002522690,1.100255259,1.099892211,0
20140801 002525940,1.100267365,1.099904308,0
20140801 002526440,1.100255259,1.099892211,0
20140801 002537440,1.100279471,1.099916406,0
20140801 002546457,1.100267365,1.099904308,0
20140801 002546957,1.100255259,1.099892211,0
20140801 002557957,1.100267365,1.099904308,0
20140801 002559207,1.100255259,1.099892211,0
20140801 002658690,1.100267365,1.099904308,0
20140801 002659190,1.100279471,1.099916406,0
20140801 002659707,1.100255259,1.099892211,0
20140801 002703190,1.100267365,1.099904308,0
20140801 002714690,1.100255259,1.099892211,0
20140801 002725690,1.100267365,1.099904308,0
20140801 002800440,1.100255259,1.099892211,0
20140801 002811690,1.100267365,1.099904308,0
20140801 002819190,1.100255259,1.099892211,0
20140801 002838690,1.100243154,1.099880113,0
20140801 002858940,1.100255259,1.099892211,0
20140801 002928190,1.100267365,1.099904308,0
20140801 002928440,1.100279471,1.099916406,0
20140801 002928940,1.100267365,1.099904308,0
20140801 002930690,1.100303684,1.099940603,0
20140801 002931190,1.100291577,1.099928505,0
20140801 002932190,1.100279471,1.099916406,0
20140801 002958953,1.100267365,1.099904308,0
20140801 003000203,1.100255259,1.099892211,0
20140801 003008453,1.100231049,1.099868016,0
20140801 003008703,1.100218944,1.099855919,0
20140801 003010453,1.100206839,1.099843822,0
20140801 003016453,1.100194734,1.099831726,0
20140801 003016720,1.100170526,1.099807534,0
20140801 003016953,1.100158423,1.099795438,0
20140801 003017453,1.100146319,1.099783343,0
20140801 003018937,1.100134216,1.099771248,0
20140801 003019953,1.100122114,1.099759153,0
20140801 003027187,1.100110011,1.099747058,0
20140801 003044453,1.100097909,1.099734964,0
20140801 003052437,1.100110011,1.099747058,0
20140801 003052687,1.100097909,1.099734964,0
20140801 003052937,1.100110011,1.099747058,0
20140801 003053203,1.100097909,1.099734964,0
20140801 003054720,1.100073705,1.099710776,0
20140801 003054953,1.100061603,1.099698683,0
20140801 003055203,1.100049502,1.099686589,0
20140801 003100703,1.100037401,1.099674496,0
20140801 003102703,1.100049502,1.099686589,0
20140801 003130203,1.100061603,1.099698683,0
20140801 003130470,1.100073705,1.099710776,0
20140801 003130703,1.100097909,1.099734964,0
20140801 003130953,1.100110011,1.099747058,0
20140801 003131703,1.100122114,1.099759153,0
20140801 003136953,1.100110011,1.099747058,0
20140801 003144703,1.100097909,1.099734964,0
20140801 003145453,1.100110011,1.099747058,0
20140801 003148970,1.100122114,1.099759153,0
20140801 003149203,1.100110011,1.099747058,0
20140801 003149453,1.100134216,1.099771248,0
20140801 003149703,1.100122114,1.099759153,0
20140801 003150203,1.100110011,1.099747058,0
20140801 003151703,1.100097909,1.099734964,0
20140801 003202203,1.100085807,1.09972287,0
20140801 003205453,1.100073705,1.099710776,0
20140801 003205703,1.100049502,1.099686589,0
20140801 003206453,1.100061603,1.099698683,0
20140801 003207453,1.100049502,1.099686589,0
20140801 003215953,1.100061603,1.099698683,0
20140801 003216703,1.100073705,1.099710776,0
20140801 003217703,1.100061603,1.099698683,0
20140801 003218953,1.100049502,1.099686589,0
20140801 003224437,1.100061603,1.099698683,0
20140801 003224687,1.100085807,1.09972287,0
20140801 003257187,1.100097909,1.099734964,0
20140801 003306687,1.100085807,1.09972287,0
20140801 003313437,1.100073705,1.099710776,0
20140801 003322203,1.100061603,1.099698683,0
20140801 003327687,1.100049502,1.099686589,0
20140801 003328187,1.100061603,1.099698683,0
20140801 003328437,1.100073705,1.099710776,0
20140801 003328687,1.100061603,1.099698683,0
20140801 003355453,1.100073705,1.099710776,0
20140801 003410937,1.100061603,1.099698683,0
20140801 003411437,1.100073705,1.099710776,0
20140801 003418687,1.100061603,1.099698683,0
20140801 003419937,1.100073705,1.099710776,0
