TIME,MIN,MAX,OTHER
20140731 001749247,0.85011,0.85041,0
20140731 001755997,0.85013,0.85043,0
20140731 001759247,0.85014,0.85044,0
20140731 001759497,0.85013,0.85043,0
20140731 001800997,0.85014,0.85044,0
20140731 001801997,0.85013,0.85043,0
20140731 001802247,0.85014,0.85044,0
20140731 001802497,0.85013,0.85043,0
20140731 001807247,0.85014,0.85044,0
20140731 001807997,0.85013,0.85043,0
20140731 001810747,0.85014,0.85044,0
20140731 001811497,0.85013,0.85043,0
20140731 001813497,0.85014,0.85044,0
20140731 001813997,0.85013,0.85043,0
20140731 001816497,0.85014,0.85044,0
20140731 001816747,0.85013,0.85043,0
20140731 001816997,0.85014,0.85044,0
20140731 001817247,0.85013,0.85043,0
20140731 001819997,0.85014,0.85044,0
20140731 001820247,0.85013,0.85043,0
20140731 001821013,0.85018,0.85048,0
20140731 001821247,0.8502,0.8505,0
20140731 001821497,0.85021,0.85051,0
20140731 001822747,0.85022,0.85052,0
20140731 001827247,0.85021,0.85051,0
20140731 001828747,0.85022,0.85052,0
20140731 001828997,0.85021,0.85051,0
20140731 001833747,0.85022,0.85052,0
20140731 001835247,0.85021,0.85051,0
20140731 001837247,0.8502,0.8505,0
20140731 001837747,0.85021,0.85051,0
20140731 001839747,0.8502,0.8505,0
20140731 001841747,0.85019,0.85049,0
20140731 001843747,0.8502,0.8505,0
20140731 001852997,0.85019,0.85049,0
20140731 001853480,0.85021,0.85051,0
20140731 001853730,0.85023,0.85053,0
20140731 001854230,0.85025,0.85055,0
20140731 001854480,0.85023,0.85053,0
20140731 001856980,0.85022,0.85052,0
20140731 001858730,0.8502,0.8505,0
20140731 001902997,0.85021,0.85051,0
20140731 001903247,0.85022,0.85052,0
20140731 001904747,0.85021,0.85051,0
20140731 001904997,0.85022,0.85052,0
20140731 001906247,0.85021,0.85051,0
20140731 001906497,0.85022,0.85052,0
20140731 001906997,0.85023,0.85053,0
20140731 001907497,0.85022,0.85052,0
20140731 001907747,0.85021,0.85051,0
20140731 001907997,0.8502,0.8505,0
20140731 001908497,0.85021,0.85051,0
20140731 001908747,0.8502,0.8505,0
20140731 001917497,0.85015,0.85045,0
20140731 001917747,0.8501,0.8504,0
20140731 001917997,0.85011,0.85041,0
20140731 001923247,0.85009,0.85039,0
20140731 001923497,0.85008,0.85038,0
20140731 001935247,0.85009,0.85039,0
20140731 001935497,0.85008,0.85038,0
20140731 001935997,0.85009,0.85039,0
20140731 001936747,0.85008,0.85038,0
20140731 001937247,0.85009,0.85039,0
20140731 001937497,0.85008,0.85038,0
20140731 001938497,0.85009,0.85039,0
20140731 001938997,0.85008,0.85038,0
20140731 001939497,0.85009,0.85039,0
20140731 001939747,0.85008,0.85038,0
20140731 001941247,0.85009,0.85039,0
20140731 001941747,0.85008,0.85038,0
20140731 001941997,0.85009,0.85039,0
20140731 001942997,0.85008,0.85038,0
20140731 001945247,0.85009,0.85039,0
20140731 001948997,0.85008,0.85038,0
20140731 001949247,0.85009,0.85039,0
20140731 001949497,0.85008,0.85038,0
20140731 001951747,0.85009,0.85039,0
20140731 001951997,0.85008,0.85038,0
20140731 001954497,0.85009,0.85039,0
20140731 001954747,0.85008,0.85038,0
20140731 001957497,0.85009,0.85039,0
20140731 001957747,0.85008,0.85038,0
20140731 001957997,0.85009,0.85039,0
20140731 002000247,0.8501,0.8504,0
20140731 002001997,0.85011,0.85041,0
20140731 002018497,0.85012,0.85042,0
20140731 002018747,0.85011,0.85041,0
20140731 002019247,0.85012,0.85042,0
20140731 002019497,0.85013,0.85043,0
20140731 002019747,0.85011,0.85041,0
20140731 002025997,0.85012,0.85042,0
20140731 002026247,0.85011,0.85041,0
20140731 002026497,0.85012,0.85042,0
20140731 002027747,0.85011,0.85041,0
20140731 002027997,0.85012,0.85042,0
20140731 002028497,0.85013,0.85043,0
20140731 002036247,0.85014,0.85044,0
20140731 002037497,0.85015,0.85045,0
20140731 002054747,0.85016,0.85046,0
20140731 002055247,0.85018,0.85048,0
20140731 002055497,0.85017,0.85047,0
20140731 002055747,0.85019,0.85049,0
20140731 002112247,0.8502,0.8505,0
20140731 002115247,0.85019,0.85049,0
20140731 002115497,0.8502,0.8505,0
20140731 002118247,0.85019,0.85049,0
20140731 002118497,0.8502,0.8505,0
20140731 002124247,0.85019,0.85049,0
20140731 002146247,0.85018,0.85048,0
20140731 002148747,0.85017,0.85047,0
20140731 002201993,0.85018,0.85048,0
20140731 002209493,0.85019,0.85049,0
20140731 002209743,0.85018,0.85048,0
20140731 002209993,0.85019,0.85049,0
20140731 002210493,0.85018,0.85048,0
20140731 002212243,0.85019,0.85049,0
20140731 002212493,0.85018,0.85048,0
20140731 002216993,0.85017,0.85047,0
20140731 002217243,0.85018,0.85048,0
20140731 002221743,0.85017,0.85047,0
20140731 002224743,0.85018,0.85048,0
20140731 002224993,0.85019,0.85049,0
20140731 002225243,0.85018,0.85048,0
20140731 002228993,0.8502,0.8505,0
20140731 002237493,0.85019,0.85049,0
20140731 002247243,0.85018,0.85048,0
20140731 002247493,0.85016,0.85046,0
20140731 002250493,0.85015,0.85045,0
20140731 002250743,0.85016,0.85046,0
20140731 002253243,0.85015,0.85045,0
20140731 002405743,0.85013,0.85043,0
20140731 002428493,0.85011,0.85041,0
20140731 002431493,0.85009,0.85039,0
20140731 002431743,0.85007,0.85037,0
20140731 002431993,0.85005,0.85035,0
20140731 002436743,0.85006,0.85036,0
20140731 002436993,0.85005,0.85035,0
20140731 002437243,0.85006,0.85036,0
20140731 002437743,0.85005,0.85035,0
20140731 002438243,0.85006,0.85036,0
20140731 002443243,0.85005,0.85035,0
20140731 002446993,0.85004,0.85034,0
20140731 002512493,0.85005,0.85035,0
20140731 002531993,0.85004,0.85034,0
20140731 002533493,0.85005,0.85035,0
20140731 002542493,0.85004,0.85034,0
20140731 002602993,0.85008,0.85038,0
20140731 002626977,0.85009,0.85039,0
20140731 002627243,0.85011,0.85041,0
20140731 002627477,0.85014,0.85044,0
20140731 002627743,0.85016,0.85046,0
20140731 002627977,0.85018,0.85048,0
20140731 002628977,0.85019,0.85049,0
20140731 002633977,0.85018,0.85048,0
20140731 002636243,0.85019,0.85049,0
20140731 002636727,0.85018,0.85048,0
20140731 002643977,0.85019,0.85049,0
20140731 002644227,0.85018,0.85048,0
20140731 002644477,0.85019,0.85049,0
20140731 002645977,0.85018,0.85048,0
20140731 002654477,0.85017,0.85047,0
20140731 002655743,0.85018,0.85048,0
20140731 002658493,0.85017,0.85047,0
20140731 002659743,0.85018,0.85048,0
20140731 002701993,0.85017,0.85047,0
20140731 002702993,0.85018,0.85048,0
20140731 002707993,0.85019,0.85049,0
20140731 002709993,0.85018,0.85048,0
20140731 002712993,0.85019,0.85049,0
20140731 002721743,0.85017,0.85047,0
20140731 002721993,0.85016,0.85046,0
20140731 002731493,0.85017,0.85047,0
20140731 002731743,0.85016,0.85046,0
20140731 002732993,0.85019,0.85049,0
20140731 002733243,0.85018,0.85048,0
20140731 002734243,0.85019,0.85049,0
20140731 002745493,0.85018,0.85048,0
20140731 002745743,0.85017,0.85047,0
20140731 002820993,0.85018,0.85048,0
20140731 002821743,0.85017,0.85047,0
20140731 002822243,0.85018,0.85048,0
20140731 002836493,0.85017,0.85047,0
20140731 002836743,0.85015,0.85045,0
20140731 002837243,0.85016,0.85046,0
20140731 002839243,0.85015,0.85045,0
20140731 002840243,0.85016,0.85046,0
20140731 002840743,0.85015,0.85045,0
20140731 002844227,0.85016,0.85046,0
20140731 002902743,0.85017,0.85047,0
20140731 002903243,0.85018,0.85048,0
20140731 002903493,0.85019,0.85049,0
20140731 002944493,0.8502,0.8505,0
20140731 003002740,0.85022,0.85052,0
20140731 003008990,0.85024,0.85054,0
20140731 003009240,0.85025,0.85055,0
20140731 003009490,0.8503,0.8506,0
20140731 003009740,0.85027,0.85057,0
20140731 003009990,0.85031,0.85061,0
20140731 003010240,0.85035,0.85065,0
20140731 003010490,0.85034,0.85064,0
20140731 003011740,0.85032,0.85062,0
20140731 003011990,0.85033,0.85063,0
20140731 003014740,0.85032,0.85062,0
20140731 003015490,0.85033,0.85063,0
20140731 003016240,0.85031,0.85061,0
20140731 003016490,0.8503,0.8506,0
20140731 003017490,0.85033,0.85063,0
20140731 003018990,0.85031,0.85061,0
20140731 003022490,0.8503,0.8506,0
20140731 003023240,0.85029,0.85059,0
20140731 003034740,0.85028,0.85058,0
20140731 003037977,0.85027,0.85057,0
20140731 003039977,0.85028,0.85058,0
20140731 003043977,0.85025,0.85055,0
20140731 003044477,0.85026,0.85056,0
20140731 003044727,0.85025,0.85055,0
20140731 003045727,0.85023,0.85053,0
20140731 003052990,0.85022,0.85052,0
20140731 003100727,0.85021,0.85051,0
20140731 003107227,0.85019,0.85049,0
20140731 003107727,0.85018,0.85048,0
20140731 003110477,0.85017,0.85047,0
20140731 003113227,0.85018,0.85048,0
20140731 003114740,0.85019,0.85049,0
20140731 003115240,0.8502,0.8505,0
20140731 003123977,0.85018,0.85048,0
20140731 003124227,0.85019,0.85049,0
20140731 003128227,0.85018,0.85048,0
20140731 003128477,0.85019,0.85049,0
20140731 003158240,0.85017,0.85047,0
20140731 003158477,0.85016,0.85046,0
20140731 003209227,0.85017,0.85047,0
20140731 003224227,0.85016,0.85046,0
20140731 003231727,0.85017,0.85047,0
20140731 003231977,0.85019,0.85049,0
20140731 003232227,0.85017,0.85047,0
20140731 003237227,0.85018,0.85048,0
20140731 003237477,0.85019,0.85049,0
20140731 003238740,0.8502,0.8505,0
20140731 003238977,0.85019,0.85049,0
20140731 003239227,0.8502,0.8505,0
20140731 003306490,0.85022,0.85052,0
20140731 003308990,0.85023,0.85053,0
20140731 003309240,0.85022,0.85052,0
20140731 003310740,0.85023,0.85053,0
20140731 003316990,0.85022,0.85052,0
20140731 003321490,0.85021,0.85051,0
20140731 003323240,0.8502,0.8505,0
20140731 003324990,0.85021,0.85051,0
20140731 003327740,0.85022,0.85052,0
20140731 003333240,0.85023,0.85053,0
20140731 003335490,0.85024,0.85054,0
20140731 003335740,0.85023,0.85053,0
20140731 003335990,0.85024,0.85054,0
20140731 003336740,0.85023,0.85053,0
20140731 003336990,0.85024,0.85054,0
20140731 003346990,0.85023,0.85053,0
20140731 003348740,0.85022,0.85052,0
20140731 003348990,0.85023,0.85053,0
20140731 003349490,0.85022,0.85052,0
20140731 003350240,0.8502,0.8505,0
20140731 003355990,0.85018,0.85048,0
20140731 003409973,0.85017,0.85047,0
20140731 003410740,0.8502,0.8505,0
20140731 003411223,0.85021,0.85051,0
20140731 003423490,0.85019,0.85049,0
20140731 003429490,0.85021,0.85051,0
20140731 003431490,0.8502,0.8505,0
20140731 003431740,0.85021,0.85051,0
20140731 003432740,0.85024,0.85054,0
20140731 003434490,0.85021,0.85051,0
20140731 003435740,0.85027,0.85057,0
20140731 003439740,0.85021,0.85051,0
20140731 003441490,0.85027,0.85057,0
20140731 003442990,0.85021,0.85051,0
20140731 003443740,0.85027,0.85057,0
20140731 003443990,0.85021,0.85051,0
20140731 003444490,0.85024,0.85054,0
20140731 003444740,0.85021,0.85051,0
20140731 003445240,0.85024,0.85054,0
20140731 003446740,0.85021,0.85051,0
20140731 003446990,0.85024,0.85054,0
20140731 003449490,0.85021,0.85051,0
20140731 003452757,0.8502,0.8505,0
20140731 003453240,0.85021,0.85051,0
20140731 003454740,0.85022,0.85052,0
20140731 003455240,0.85021,0.85051,0
20140731 003455990,0.85022,0.85052,0
20140731 003456740,0.85021,0.85051,0
20140731 003456990,0.85022,0.85052,0
20140731 003457240,0.85021,0.85051,0
20140731 003457490,0.85022,0.85052,0
20140731 003457740,0.85021,0.85051,0
20140731 003458240,0.85022,0.85052,0
20140731 003459990,0.85021,0.85051,0
20140731 003500240,0.85022,0.85052,0
20140731 003502240,0.85023,0.85053,0
20140731 003505990,0.85022,0.85052,0
20140731 003506240,0.85023,0.85053,0
20140731 003506740,0.85022,0.85052,0
20140731 003506990,0.85023,0.85053,0
20140731 003508240,0.85022,0.85052,0
20140731 003508740,0.85023,0.85053,0
20140731 003509240,0.85022,0.85052,0
20140731 003509990,0.85023,0.85053,0
20140731 003510240,0.85022,0.85052,0
20140731 003510740,0.85023,0.85053,0
20140731 003523397,0.85022,0.85052,0
20140731 003523740,0.85023,0.85053,0
20140731 003532490,0.85024,0.85054,0
20140731 003533240,0.85023,0.85053,0
20140731 003533490,0.85024,0.85054,0
20140731 003533990,0.85023,0.85053,0
20140731 003534240,0.85024,0.85054,0
20140731 003537740,0.85023,0.85053,0
20140731 003537990,0.85024,0.85054,0
20140731 003546740,0.85021,0.85051,0
20140731 003546990,0.85022,0.85052,0
20140731 003558990,0.85023,0.85053,0
20140731 003600490,0.85024,0.85054,0
20140731 003601990,0.85025,0.85055,0
20140731 003606490,0.85026,0.85056,0
20140731 003606723,0.85025,0.85055,0
20140731 003611990,0.85026,0.85056,0
20140731 003612240,0.85027,0.85057,0
20140731 003613990,0.85026,0.85056,0
20140731 003617990,0.85028,0.85058,0
20140731 003618490,0.85031,0.85061,0
20140731 003618740,0.85032,0.85062,0
20140731 003627490,0.85031,0.85061,0
20140731 003627990,0.85032,0.85062,0
20140731 003628490,0.85031,0.85061,0
20140731 003630240,0.85029,0.85059,0
20140731 003630490,0.85027,0.85057,0
20140731 003631990,0.85023,0.85053,0
20140731 003632240,0.8502,0.8505,0
20140731 003632490,0.85021,0.85051,0
20140731 003632990,0.8502,0.8505,0
20140731 003633740,0.85021,0.85051,0
20140731 003633990,0.8502,0.8505,0
20140731 003634240,0.85019,0.85049,0
20140731 003636240,0.85021,0.85051,0
20140731 003637240,0.8502,0.8505,0
20140731 003640490,0.85019,0.85049,0
20140731 003642240,0.8502,0.8505,0
20140731 003644490,0.85022,0.85052,0
20140731 003644740,0.85027,0.85057,0
20140731 003644990,0.8503,0.8506,0
20140731 003645990,0.85029,0.85059,0
20140731 003648990,0.8503,0.8506,0
20140731 003649740,0.85029,0.85059,0
20140731 003655490,0.8503,0.8506,0
