TIME,MAX,MIN,OTHER
20140801 001312430,0.009716662,0.009714774,0
20140801 001320430,0.009716568,0.00971468,0
20140801 001324430,0.009716473,0.009714585,0
20140801 001324680,0.009716568,0.00971468,0
20140801 001333430,0.009716473,0.009714585,0
20140801 001333680,0.009716568,0.00971468,0
20140801 001336430,0.009716473,0.009714585,0
20140801 001337930,0.009716568,0.00971468,0
20140801 001338180,0.009716473,0.009714585,0
20140801 001340680,0.009716568,0.00971468,0
20140801 001341180,0.009716473,0.009714585,0
20140801 001341447,0.009716568,0.00971468,0
20140801 001412930,0.009716662,0.009714774,0
20140801 001413180,0.009716568,0.00971468,0
20140801 001425680,0.009716473,0.009714585,0
20140801 001425930,0.009716568,0.00971468,0
20140801 001426180,0.009716473,0.009714585,0
20140801 001426430,0.009716568,0.00971468,0
20140801 001510927,0.009716662,0.009714774,0
20140801 001511427,0.009716568,0.00971468,0
20140801 001523427,0.009716757,0.009714869,0
20140801 001523677,0.009716662,0.009714774,0
20140801 001525427,0.009716757,0.009714869,0
20140801 001525927,0.009716851,0.009714963,0
20140801 001526177,0.009717134,0.009715246,0
20140801 001526443,0.009717417,0.009715529,0
20140801 001526677,0.009717512,0.009715624,0
20140801 001530427,0.009717323,0.009715435,0
20140801 001530677,0.009717134,0.009715246,0
20140801 001536427,0.00971704,0.009715152,0
20140801 001536927,0.009717229,0.009715341,0
20140801 001537177,0.009717323,0.009715435,0
20140801 001541943,0.009717417,0.009715529,0
20140801 001550927,0.009717323,0.009715435,0
20140801 001558677,0.009717417,0.009715529,0
20140801 001601943,0.009717701,0.009715812,0
20140801 001602177,0.00971789,0.009716001,0
20140801 001602927,0.009717984,0.009716096,0
20140801 001611927,0.00971789,0.009716001,0
20140801 001612427,0.009717795,0.009715907,0
20140801 001612677,0.009717606,0.009715718,0
20140801 001612927,0.009717512,0.009715624,0
20140801 001613177,0.009717417,0.009715529,0
20140801 001630927,0.009717512,0.009715624,0
20140801 001637193,0.009717795,0.009715907,0
20140801 001637943,0.009717701,0.009715812,0
20140801 001652443,0.009717795,0.009715907,0
20140801 001652693,0.009717701,0.009715812,0
20140801 001657443,0.009717512,0.009715624,0
20140801 001702210,0.009717417,0.009715529,0
20140801 001702443,0.009717134,0.009715246,0
20140801 001702693,0.00971704,0.009715152,0
20140801 001717943,0.009717229,0.009715341,0
