TIME,MAX,MIN,OTHER
20140801 003314937,0.915901889,0.915650295,0
20140801 003315937,0.915910277,0.915658679,0
20140801 003328187,0.915901889,0.915650295,0
20140801 003329437,0.915910277,0.915658679,0
20140801 003350937,0.915918666,0.915667063,0
20140801 003405703,0.915910277,0.915658679,0
20140801 003406703,0.915918666,0.915667063,0
20140801 003413687,0.915910277,0.915658679,0
20140801 003415187,0.915918666,0.915667063,0
20140801 003415937,0.915910277,0.915658679,0
20140801 003513703,0.915901889,0.915650295,0
20140801 003521453,0.915910277,0.915658679,0
20140801 003523453,0.915901889,0.915650295,0
20140801 003523703,0.915910277,0.915658679,0
20140801 003535187,0.915901889,0.915650295,0
20140801 003535687,0.915910277,0.915658679,0
20140801 003544437,0.915901889,0.915650295,0
20140801 003544687,0.915910277,0.915658679,0
20140801 003556187,0.915901889,0.915650295,0
20140801 003556437,0.915910277,0.915658679,0
20140801 003558187,0.9158935,0.915641911,0
20140801 003617953,0.915901889,0.915650295,0
20140801 003618203,0.915910277,0.915658679,0
20140801 003622703,0.915901889,0.915650295,0
20140801 003638937,0.915910277,0.915658679,0
20140801 003650467,0.915918666,0.915667063,0
20140801 003650717,0.915910277,0.915658679,0
20140801 003653967,0.915918666,0.915667063,0
20140801 003656217,0.915910277,0.915658679,0
20140801 003656717,0.915901889,0.915650295,0
20140801 003656967,0.915910277,0.915658679,0
20140801 003657967,0.915901889,0.915650295,0
20140801 003658217,0.915910277,0.915658679,0
20140801 003700217,0.915901889,0.915650295,0
20140801 003700467,0.915910277,0.915658679,0
20140801 003744217,0.915918666,0.915667063,0
20140801 003747200,0.915910277,0.915658679,0
20140801 003750217,0.915918666,0.915667063,0
20140801 003914700,0.915910277,0.915658679,0
20140801 003922450,0.915901889,0.915650295,0
20140801 003953200,0.915910277,0.915658679,0
20140801 003956967,0.915901889,0.915650295,0
20140801 004023700,0.915910277,0.915658679,0
20140801 004029450,0.915918666,0.915667063,0
20140801 004119717,0.915910277,0.915658679,0
20140801 004122217,0.915918666,0.915667063,0
20140801 004122717,0.915910277,0.915658679,0
20140801 004122967,0.915918666,0.915667063,0
20140801 004132217,0.915910277,0.915658679,0
20140801 004132467,0.915918666,0.915667063,0
20140801 004154200,0.915927056,0.915675448,0
20140801 004154967,0.915960614,0.915708988,0
20140801 004155217,0.915969004,0.915717373,0
20140801 004155467,0.915977394,0.915725758,0
20140801 004155717,0.916002565,0.915750916,0
20140801 004157217,0.915977394,0.915725758,0
20140801 004157467,0.916002565,0.915750916,0
20140801 004158700,0.915994174,0.91574253,0
20140801 004158967,0.915977394,0.915725758,0
20140801 004159217,0.915994174,0.91574253,0
20140801 004200717,0.915977394,0.915725758,0
20140801 004201217,0.915994174,0.91574253,0
20140801 004202717,0.915977394,0.915725758,0
20140801 004205217,0.916002565,0.915750916,0
20140801 004206717,0.915977394,0.915725758,0
20140801 004208967,0.916002565,0.915750916,0
20140801 004209200,0.915994174,0.91574253,0
20140801 004336213,0.916002565,0.915750916,0
20140801 004336463,0.915994174,0.91574253,0
20140801 004340963,0.916002565,0.915750916,0
20140801 004342713,0.915994174,0.91574253,0
20140801 004342963,0.916002565,0.915750916,0
20140801 004343713,0.915994174,0.91574253,0
20140801 004354213,0.916002565,0.915750916,0
20140801 004355213,0.915994174,0.91574253,0
20140801 004403713,0.916002565,0.915750916,0
20140801 004412463,0.915994174,0.91574253,0
20140801 004428213,0.915985784,0.915734144,0
20140801 004551963,0.915994174,0.91574253,0
20140801 004559713,0.915985784,0.915734144,0
20140801 004609213,0.915994174,0.91574253,0
20140801 004614463,0.915985784,0.915734144,0
20140801 004627213,0.915994174,0.91574253,0
20140801 004645963,0.915985784,0.915734144,0
20140801 004648963,0.915977394,0.915725758,0
20140801 004713463,0.915985784,0.915734144,0
20140801 004713963,0.915977394,0.915725758,0
20140801 004729463,0.915994174,0.91574253,0
20140801 004729713,0.915952224,0.915700603,0
20140801 004733963,0.915960614,0.915708988,0
20140801 004734213,0.915952224,0.915700603,0
20140801 004734463,0.915977394,0.915725758,0
